Year,Month,Day,Hour,GHI,DNI,DIF,AP,RH,WS,WD
2013,01,01,00,0,0,0,880,72,3.15,82.6
2013,01,01,01,0,0,0,879,80.6,2.447,65.49
2013,01,01,02,0,0,0,878,82.6,2.232,72.81
2013,01,01,03,0,0,0,877,82,1.68,71.63
2013,01,01,04,0,0,0,877,81.6,1.093,99.8
2013,01,01,05,0,0,0,876,81.1,1.176,99.9
2013,01,01,06,0,0,0,875,81.1,1.122,113.1
2013,01,01,07,0,0,0,875,81.2,1.11,56.41
2013,01,01,08,0,0,0,875,84.5,1.034,140.9
2013,01,01,09,0,0,0,875,84.9,1.064,37.8
2013,01,01,10,47.79,173.5,29.85,875,84.9,0.714,174.1
2013,01,01,11,187.9,574.2,65.44,875,76.46,1.135,103.3
2013,01,01,12,325.2,712.4,87.3,876,67.89,1.376,76.3
2013,01,01,13,416.5,761.6,101,876,62,2.541,67.89
2013,01,01,14,469,827,97.2,875,55.15,3.143,71.25
2013,01,01,15,459.1,816,101.6,875,50.85,3.496,74.14
2013,01,01,16,403.6,678.5,144.7,875,47.84,4.242,70.79
2013,01,01,17,265.3,532,115.2,875,46.58,4.818,72.28
2013,01,01,18,111.1,237.6,71.8,875,49.28,4.279,66.36
2013,01,01,19,6.256,0,6.255,875,56.99,4.899,68.2
2013,01,01,20,0,0,0,875,60.25,5.008,76.93
2013,01,01,21,0,0,0,876,65.95,3.702,76.93
2013,01,01,22,0,0,0,876,67.66,3.892,75.45
2013,01,01,23,0,0,0,876,68.33,3.29,58.82
2013,01,02,00,0,0,0,877,68.11,5.318,68.43
2013,01,02,01,0,0,0,876,65.18,6.942,75.47
2013,01,02,02,0,0,0,877,57.89,8.56,74.75
2013,01,02,03,0,0,0,878,57.59,8.55,71.05
2013,01,02,04,0,0,0,879,60.6,7.743,74.66
2013,01,02,05,0,0,0,881,63.37,7.077,72.33
2013,01,02,06,0,0,0,883,64.91,5.933,73.62
2013,01,02,07,0,0,0,884,65.8,3.978,59.78
2013,01,02,08,0,0,0,886,65.23,4.06,80.9
2013,01,02,09,0,0,0,888,69.04,2.021,174.9
2013,01,02,10,22.17,0,22.15,890,74.44,4.083,229.1
2013,01,02,11,80.2,0,80.2,891,76.58,5.072,240
2013,01,02,12,163.2,0,163.2,892,77.25,6.067,245.7
2013,01,02,13,291.7,70.61,261.7,892,70.22,6.363,235.7
2013,01,02,14,366.4,151.3,298,892,68.13,5.977,231.1
2013,01,02,15,391.3,279.3,268.9,892,65.27,4.55,245.2
2013,01,02,16,327.1,283.7,217.8,892,63.81,3.568,253.4
2013,01,02,17,217.1,183.1,164.7,892,62.92,2.564,262.3
2013,01,02,18,105.9,51.16,97.2,891,63.62,1.239,13.33
2013,01,02,19,8.9,0,8.9,891,70.62,3.917,68.15
2013,01,02,20,0,0,0,891,74.55,3.283,58.44
2013,01,02,21,0,0,0,891,72.75,4.408,66.9
2013,01,02,22,0,0,0,891,72.38,4.226,75.01
2013,01,02,23,0,0,0,890,67.8,4.76,62.91
2013,01,03,00,0,0,0,889,66.09,4.883,59.68
2013,01,03,01,0,0,0,888,65.83,5.284,62.92
2013,01,03,02,0,0,0,887,66.4,5.474,58.06
2013,01,03,03,0,0,0,887,66.46,5.164,67.24
2013,01,03,04,0,0,0,886,67.26,4.963,63.38
2013,01,03,05,0,0,0,886,65.41,4.543,65.27
2013,01,03,06,0,0,0,885,66.48,4.089,71.51
2013,01,03,07,0,0,0,885,64.37,4.301,66.2
2013,01,03,08,0,0,0,885,65.5,2.929,66.41
2013,01,03,09,0,0,0,885,68.45,0.772,82.2
2013,01,03,10,42.01,142.2,26.66,885,68.15,0.366,250.3
2013,01,03,11,178.8,503.7,71.16,886,63.43,1.407,254.2
2013,01,03,12,322,678.2,95.3,886,56.77,1.171,275.3
2013,01,03,13,413.7,726.3,111.9,886,58.07,2.698,262.6
2013,01,03,14,457.1,728.6,127.5,885,62.41,7.275,244.8
2013,01,03,15,444.9,716.3,128.5,884,62.47,6.839,246.1
2013,01,03,16,379.1,668.3,122,884,60.64,6.431,247.3
2013,01,03,17,265.6,555.8,106.7,884,61.76,6.744,241.5
2013,01,03,18,116.1,283.6,69.02,884,66.43,6.421,233.6
2013,01,03,19,8.17,0,8.13,884,71.66,5.458,233.1
2013,01,03,20,0,0,0,884,75.33,4.292,248.4
2013,01,03,21,0,0,0,884,76.37,5.132,261.6
2013,01,03,22,0,0,0,884,78.19,4.946,253.7
2013,01,03,23,0,0,0,884,76.93,4.989,246.2
2013,01,04,00,0,0,0,884,76.12,3.921,240.1
2013,01,04,01,0,0,0,884,76.43,1.483,188.2
2013,01,04,02,0,0,0,883,76.73,0.461,76.29
2013,01,04,03,0,0,0,883,79.09,0.386,152.4
2013,01,04,04,0,0,0,883,82.7,0.296,1.813
2013,01,04,05,0,0,0,882,84.6,1.431,36.9
2013,01,04,06,0,0,0,882,84.8,1.39,132.3
2013,01,04,07,0,0,0,881,84.3,0.436,83.2
2013,01,04,08,0,0,0,881,83.4,0.535,278.9
2013,01,04,09,0,0,0,882,83.7,0.805,213.1
2013,01,04,10,36.25,83.5,27.2,883,81.7,1.868,255.8
2013,01,04,11,153.5,353,77.01,883,79.07,3.084,253.5
2013,01,04,12,310.3,605.2,107,884,69.67,1.625,294.4
2013,01,04,13,407.5,680.3,123.9,883,65.08,2.284,14.14
2013,01,04,14,453,716.3,127.8,882,57.56,2.002,11.83
2013,01,04,15,441.6,706.9,128,882,52.26,1.685,350.8
2013,01,04,16,372.8,649.7,121,882,49.24,1.466,304.4
2013,01,04,17,264.7,541.1,108,882,49.21,2.948,303.4
2013,01,04,18,88,151,59.94,882,51.71,3.479,268.1
2013,01,04,19,5.295,0,5.295,883,60.37,3.42,248.4
2013,01,04,20,0,0,0,884,68.2,4.06,219.5
2013,01,04,21,0,0,0,884,71.2,4.496,215.2
2013,01,04,22,0,0,0,884,73.58,3.846,210.6
2013,01,04,23,0,0,0,884,74.6,3.695,208.9
2013,01,05,00,0,0,0,884,75.19,3.57,212.8
2013,01,05,01,0,0,0,884,74.68,3.83,224.2
2013,01,05,02,0,0,0,884,75.8,3.331,236.3
2013,01,05,03,0,0,0,885,76.2,3.448,217
2013,01,05,04,0,0,0,885,77.1,4.708,216.9
2013,01,05,05,0,0,0,885,77.01,3.382,209.7
2013,01,05,06,0,0,0,885,77.95,3.215,206.2
2013,01,05,07,0,0,0,885,78.31,2.462,207.7
2013,01,05,08,0,0,0,885,78.31,2.004,183.2
2013,01,05,09,0,0,0,885,78.17,1.397,128.8
2013,01,05,10,33.9,57.62,27.47,885,78.82,1.166,176.3
2013,01,05,11,167.8,344,93.3,885,74.97,0.564,105.7
2013,01,05,12,252.7,397.4,121.9,885,69.2,2.156,70.01
2013,01,05,13,320.7,450.6,129.3,884,63.64,2.971,61.98
2013,01,05,14,446,725.2,115.7,883,59.98,3.434,59.61
2013,01,05,15,464.4,730.4,138.6,883,55.55,3.484,43.54
2013,01,05,16,234.8,108.9,190.4,883,54.24,3.082,62.38
2013,01,05,17,214.2,270.7,140.3,883,52.43,2.895,81.6
2013,01,05,18,126,382.3,63.62,883,50.48,1.692,70.26
2013,01,05,19,9.96,11.57,9.17,883,55.68,0.45,106.7
2013,01,05,20,0,0,0,883,63.4,1.301,183
2013,01,05,21,0,0,0,883,68.92,3.793,206.6
2013,01,05,22,0,0,0,883,72.17,2.948,212.1
2013,01,05,23,0,0,0,883,72.92,1.069,213.1
2013,01,06,00,0,0,0,883,71.41,1.087,134.7
2013,01,06,01,0,0,0,883,73.67,1.576,191.5
2013,01,06,02,0,0,0,883,75.94,2.99,209.5
2013,01,06,03,0,0,0,883,75.87,3.807,215.4
2013,01,06,04,0,0,0,883,75.76,3.406,209.8
2013,01,06,05,0,0,0,883,74.85,2.824,209.4
2013,01,06,06,0,0,0,883,75.13,2.159,208.3
2013,01,06,07,0,0,0,883,75.29,3.116,202.5
2013,01,06,08,0,0,0,884,75.47,3.418,220
2013,01,06,09,0,0,0,884,75.69,3.99,211.3
