Year,Month,Day,Hour,GHI,DNI,DIF,AP,RH,WS,WD
2013,01,01,00,0,0,0,905,72.94,1.998,65.39
2013,01,01,01,0,0,0,905,73.53,2.05,51.32
2013,01,01,02,0,0,0,904,74.43,2.684,50.83
2013,01,01,03,0,0,0,903,71.73,2.865,50.82
2013,01,01,04,0,0,0,902,72.8,2.709,62.8
2013,01,01,05,0,0,0,902,73.94,2.426,57.75
2013,01,01,06,0,0,0,901,72.31,2.324,55.49
2013,01,01,07,0,0,0,901,70.76,2.643,45.3
2013,01,01,08,0,0,0,901,69.82,2.86,51.74
2013,01,01,09,0,0,0,901,69.5,2.588,44.21
2013,01,01,10,28.11,84.6,21.13,902,70.61,2.732,44.55
2013,01,01,11,145.3,451.4,64.92,902,66.94,1.983,52.29
2013,01,01,12,279.2,668.5,90.6,902,69.37,1.574,311.1
2013,01,01,13,379.8,730.8,111.7,903,72.38,1.842,325.3
2013,01,01,14,452.7,844,112.4,902,74.79,2.309,270.9
2013,01,01,15,437.1,808,118.1,902,75.61,1.364,245.3
2013,01,01,16,368.5,811,91.7,902,57.49,0.439,13.89
2013,01,01,17,264.1,750,76.39,902,69.37,1.685,223.8
2013,01,01,18,90.6,260.5,53.24,902,73.62,1.269,134.3
2013,01,01,19,6.897,0,6.799,902,78.37,2.005,57.85
2013,01,01,20,0,0,0,902,76.4,0.835,49.02
2013,01,01,21,0,0,0,903,73.27,2.183,39.41
2013,01,01,22,0,0,0,903,66.34,3.221,46.56
2013,01,01,23,0,0,0,903,60.06,3.298,33.77
2013,01,02,00,0,0,0,904,61.74,3.605,15.15
2013,01,02,01,0,0,0,904,64.22,2.155,345.7
2013,01,02,02,0,0,0,904,65.95,2.467,45.45
2013,01,02,03,0,0,0,905,69.2,2.667,358
2013,01,02,04,0,0,0,908,69.9,3.935,359.8
2013,01,02,05,0,0,0,909,66.14,4.792,19.42
2013,01,02,06,0,0,0,909,61.55,4.26,25.83
2013,01,02,07,0,0,0,910,60.29,2.76,41.48
2013,01,02,08,0,0,0,912,62.66,1.676,53.49
2013,01,02,09,0,0,0,914,64.12,2.432,34.24
2013,01,02,10,29.98,74.36,23.9,915,62.07,2.169,43.38
2013,01,02,11,166,526.4,75.19,916,65.71,1.268,71.3
2013,01,02,12,291.3,634.2,109.1,917,59.75,0.938,214.1
2013,01,02,13,346.3,576.3,136.6,918,60.41,0.758,348.9
2013,01,02,14,277,265.8,169.8,918,56.71,0.625,268.6
2013,01,02,15,297.6,233.1,205.3,917,61.47,1.353,292.3
2013,01,02,16,282,192.8,214.2,916,59.16,1.283,306.1
2013,01,02,17,265.8,330.1,187.6,917,60.49,1.329,166.7
2013,01,02,18,111.9,129.6,89.9,917,70.03,1.817,111.6
2013,01,02,19,6.154,0,6.154,916,71.46,2.813,71.99
2013,01,02,20,0,0,0,916,62.75,3.217,78.91
2013,01,02,21,0,0,0,916,56.99,2.915,53.75
2013,01,02,22,0,0,0,916,56.68,3.228,45.66
2013,01,02,23,0,0,0,915,61.18,3.201,42.4
2013,01,03,00,0,0,0,915,61.88,3.03,40.28
2013,01,03,01,0,0,0,914,62.58,2.966,49.46
2013,01,03,02,0,0,0,913,65.03,2.954,54.2
2013,01,03,03,0,0,0,912,64.94,3.122,41.6
2013,01,03,04,0,0,0,912,62.48,3.329,39.75
2013,01,03,05,0,0,0,912,64.56,2.653,47.43
2013,01,03,06,0,0,0,911,63.27,2.902,48.21
2013,01,03,07,0,0,0,911,63.28,3.005,49.31
2013,01,03,08,0,0,0,910,65.08,2.643,45.85
2013,01,03,09,0,0,0,911,68.72,1.957,93.7
2013,01,03,10,27.85,143,17,911,69.19,1.741,45.74
2013,01,03,11,159.4,567.8,63.46,911,66.96,3.22,7.614
2013,01,03,12,309.5,821,73.49,911,63.44,1.882,306.3
2013,01,03,13,400.9,853,87.2,911,62.1,1.514,229.5
2013,01,03,14,445.6,864,95.3,911,56.51,1.295,144
2013,01,03,15,437,860,94.7,910,55.61,1.235,140.2
2013,01,03,16,375.3,833,87.1,909,48.44,0.736,164.5
2013,01,03,17,265.8,756.4,74.07,909,52.61,1.065,181.2
2013,01,03,18,115.3,483.3,49.48,909,52.37,0.464,144.7
2013,01,03,19,6.008,0,5.839,909,69.77,2.114,78.09
2013,01,03,20,0,0,0,909,71.29,2.396,63.89
2013,01,03,21,0,0,0,910,67.79,2.753,50.64
2013,01,03,22,0,0,0,909,68.65,2.5,55.46
2013,01,03,23,0,0,0,909,67.72,2.888,47.09
2013,01,04,00,0,0,0,908,65.73,3.078,56.46
2013,01,04,01,0,0,0,908,66.4,1.989,54.43
2013,01,04,02,0,0,0,908,68.24,1.542,46.02
2013,01,04,03,0,0,0,907,67.51,2.916,60.04
2013,01,04,04,0,0,0,907,72.39,3.454,78.06
2013,01,04,05,0,0,0,907,71.48,2.71,72.84
2013,01,04,06,0,0,0,907,68.45,2.816,58.4
2013,01,04,07,0,0,0,907,69.04,2.983,46.24
2013,01,04,08,0,0,0,907,68.08,2.969,47.48
2013,01,04,09,0,0,0,907,67.74,2.718,54.03
2013,01,04,10,27.55,60.91,23.29,908,66.38,2.824,50.59
2013,01,04,11,107.4,111.3,85.6,908,64.47,2.562,56.36
2013,01,04,12,268.6,466.1,132.7,908,62.44,1.308,138.9
2013,01,04,13,349.9,501.1,164.7,908,59.2,0.645,10.35
2013,01,04,14,454.6,754.4,147.2,908,57.49,0.953,217.3
2013,01,04,15,447.9,815,121.9,907,51.92,0.349,16.79
2013,01,04,16,376.6,771.7,108.2,907,49.42,0.972,239.8
2013,01,04,17,259.5,630.9,98.4,907,52.9,0.713,202.6
2013,01,04,18,82.6,185.8,52.5,907,62.03,1.089,132.4
2013,01,04,19,6.208,0,6.204,908,69.22,1.917,64.04
2013,01,04,20,0,0,0,908,70.45,2.311,48.7
2013,01,04,21,0,0,0,908,70.04,2.71,46.64
2013,01,04,22,0,0,0,909,67.59,2.992,45.93
2013,01,04,23,0,0,0,908,67.11,2.731,43.29
2013,01,05,00,0,0,0,908,66.68,2.599,51.75
2013,01,05,01,0,0,0,908,67.62,2.591,50.89
2013,01,05,02,0,0,0,908,68.91,2.471,52.13
2013,01,05,03,0,0,0,908,71.28,2.585,71.5
2013,01,05,04,0,0,0,908,70.44,2.757,53.64
2013,01,05,05,0,0,0,908,69.81,2.677,49.62
2013,01,05,06,0,0,0,908,71.76,2.821,68.57
2013,01,05,07,0,0,0,908,70.45,2.431,52.96
2013,01,05,08,0,0,0,908,70.14,3.06,58.72
2013,01,05,09,0,0,0,909,70.54,2.746,51.61
2013,01,05,10,31.18,65.85,26.14,909,69.38,2.214,54.25
2013,01,05,11,125.6,136.8,106.5,909,69.33,1.975,89.1
2013,01,05,12,285.5,302.4,192.3,909,68.63,3.167,93
2013,01,05,13,341.7,242.7,250.3,908,64.93,2.927,113.8
2013,01,05,14,379.8,374.3,226.3,908,63.12,1.514,191.3
2013,01,05,15,381.9,292,265.4,907,60.63,1.364,104.4
2013,01,05,16,409.3,624.3,193.1,907,52.26,1.4,142.3
2013,01,05,17,263.1,667.9,90.5,907,58.04,1.435,205.6
2013,01,05,18,115.6,411.6,57.09,907,66.53,1.072,0.371
2013,01,05,19,6.75,0,6.604,908,73.59,2.017,48.3
2013,01,05,20,0,0,0,908,72.09,2.952,62.2
2013,01,05,21,0,0,0,908,71.63,2.482,54.33
2013,01,05,22,0,0,0,908,70.62,3.039,49.63
2013,01,05,23,0,0,0,909,70.46,2.819,56
2013,01,06,00,0,0,0,909,72.17,2.268,59.65
2013,01,06,01,0,0,0,909,72.04,2.347,50.6
2013,01,06,02,0,0,0,908,71.99,2.726,45.05
2013,01,06,03,0,0,0,908,72.52,2.708,57.38
2013,01,06,04,0,0,0,908,73.59,2.768,70.41
2013,01,06,05,0,0,0,908,74.69,3.208,76.81
2013,01,06,06,0,0,0,908,74.15,3.729,67.58
2013,01,06,07,0,0,0,908,72.82,2.627,55.2
2013,01,06,08,0,0,0,909,72.55,2.802,58.29
2013,01,06,09,0,0,0,909,71.55,2.738,59.52
2013,01,06,10,13.6,12.24,12.45,909,72.02,2.197,47.15
