Source,Location ID,City,State,Country,Latitude,Longitude,Elevation,,,
TMY3,123456,Jinta,GS,China,40.06,98.675,1266,,,
Year,Month,Day,Hour,GHI,DNI ,DIF,AP,RH ,WS ,WD
2014,1,1,0,0,0,0,882.4,46,2.467,245
2014,1,1,1,0,0,0,882.2,48.4,2.375,250
2014,1,1,2,0,0,0,882.1,50.4,2.275,257.7
2014,1,1,3,0,0,0,882.2,52.8,2.3,265.6
2014,1,1,4,0,0,0,882.4,55.7,2.55,267.5
2014,1,1,5,0,0,0,882.3,57.4,2.55,265
2014,1,1,6,0,0,0,881.4,62.3,2.3,267.7
2014,1,1,7,0,0,0,881.4,64.4,2,266.3
2014,1,1,8,1.3,22,0.8,881.8,66.7,1.725,249.1
2014,1,1,9,52.5,224.8,27.3,882.3,65.7,1.6,233.9
2014,1,1,10,192.3,450.1,74.3,882.5,58.5,1.3,232
2014,1,1,11,306.8,487.9,114.5,882.7,51.1,0.9,233.5
2014,1,1,12,365.3,461.9,140.8,882.1,44.2,0.475,243.3
2014,1,1,13,408,481.2,152.3,881.5,38.5,0.175,331.4
2014,1,1,14,372.5,417.3,162.8,880.4,36,0.475,16.8
2014,1,1,15,313,414.4,133.3,880.1,33.9,0.7,35.2
2014,1,1,16,211.3,361.3,98.3,880.2,32.3,0.85,67.4
2014,1,1,17,92.5,245.6,52.3,880.1,31.8,1.2,88.3
2014,1,1,18,10.3,76.9,7.3,880.1,37.2,1.675,88.6
2014,1,1,19,0,0,0,880.3,39.7,2.025,87.8
2014,1,1,20,0,0,0,880.8,44.7,2.375,93.1
2014,1,1,21,0,0,0,880.8,49.2,2.6,97.5
2014,1,1,22,0,0,0,880.9,52.1,2.7,98
2014,1,1,23,0,0,0,880.6,49.2,2.675,97
2014,1,2,0,0,0,0,880.4,50.6,2.5,94.5
2014,1,2,1,0,0,0,880,55.2,2.3,94.2
2014,1,2,2,0,0,0,879.7,61.8,2.125,95.5
2014,1,2,3,0,0,0,879.7,63.5,2.05,98.5
2014,1,2,4,0,0,0,879.5,64.4,2.125,103.5
2014,1,2,5,0,0,0,878.9,65.6,2.175,105.5
2014,1,2,6,0,0,0,877.8,70.1,2.175,99.8
2014,1,2,7,0,0,0,877.4,72,2.625,91.7
2014,1,2,8,1,19.8,0.8,878,74.6,2.7,98.5
2014,1,2,9,48,174.1,30,878.3,71.5,2.7,95.8
2014,1,2,10,177,345,92.5,878.6,61.1,2.75,89.9
2014,1,2,11,262.3,300.8,158.3,878.5,55.4,3.2,85.5
2014,1,2,12,299,219.2,213.3,878.2,51.5,3.7,84.7
2014,1,2,13,314,192.2,237.3,877.5,46.4,4.1,84.3
2014,1,2,14,296.5,165.6,237.5,876.5,43.9,4.425,86
2014,1,2,15,237.5,151.2,193.3,876.2,41.3,4.8,88
2014,1,2,16,139.3,103.8,124.5,876.1,40.7,5.15,89
2014,1,2,17,49.8,53.9,49,876.2,42.9,4.975,87.8
2014,1,2,18,5.3,0,5.3,876.4,48.9,4.125,82.9
2014,1,2,19,0,0,0,876.5,52.3,3.6,77.5
2014,1,2,20,0,0,0,876.8,56.5,3.35,80.7
2014,1,2,21,0,0,0,876.6,58.6,3.6,83.3
2014,1,2,22,0,0,0,876.1,62.8,3.85,86.8
2014,1,2,23,0,0,0,875.7,65.8,3.65,88
2014,1,3,0,0,0,0,875.1,67.2,3.175,88
2014,1,3,1,0,0,0,874.6,68.8,2.625,89.6
2014,1,3,2,0,0,0,874.5,69.5,2.125,96.5
2014,1,3,3,0,0,0,874.5,70,1.6,104
2014,1,3,4,0,0,0,874.7,70.6,0.8,122.6
2014,1,3,5,0,0,0,874.4,69.9,0.8,264.6
2014,1,3,6,0,0,0,873.8,72.4,1.225,270.2
2014,1,3,7,0,0,0,873.6,74,1,271.7
2014,1,3,8,0.8,17.6,0.8,874,76.3,0.725,223.6
2014,1,3,9,34.8,96.9,29.3,874.3,73.9,1,156.1
2014,1,3,10,137.5,193.4,96,874.3,67.8,1.725,123.6
2014,1,3,11,296,376.4,149.3,874.5,62.9,2.675,105.4
2014,1,3,12,364.3,362.4,198.8,874.2,57.1,3.375,94.1
2014,1,3,13,337.8,263.5,216.3,873.6,51.7,3.675,86.5
2014,1,3,14,388.8,414,179.3,872.8,46.6,3.75,82.5
2014,1,3,15,327,403.2,150.8,872.6,42.9,3.675,83
2014,1,3,16,221.3,345.6,112.5,872.7,41.2,3.6,86
2014,1,3,17,97.3,232,58.8,872.9,43.2,3.45,91.1
2014,1,3,18,10.8,74,8,872.5,52.6,3.15,96.7
